outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,n_rest_in_group,rest_rank,step_size
Egg,Presence,1.0222978693635119,NA,1.0222978693635119,0.9716416578630735,1.1978166839724431,1.0143646906247,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,5,3,0.15
Egg,Presence,1.0134679008370382,NA,1.0134679008370382,0.9916965051523726,1.0420719231471738,1.00921594339451,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,5,4,0.15
Egg,Presence,1.013046725450083,NA,1.013046725450083,0.9548475870408182,1.0820373898183429,1.03839545314556,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,5,5,0.15
Untextured,Count,1.19,NA,1.0178718302046112,1.09,1.31,1.00017568735827,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,Animal,12,1,0.15
Untextured,Count,1.08,NA,1.0077137217978178,1.03,1.13,0.999920558778355,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,12,2,0.15
Untextured,Count,1.18,NA,1.0166123885309022,0.96,1.46,1.00055291215551,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,Animal,12,3,0.15
Untextured,Count,0.92,NA,0.9916682422502192,0.83,1.03,1.00282151810237,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,Animal,12,4,0.15
Untextured,Count,2.31,NA,1.0871509301407913,1.02,42.13,1.02723563602912,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,12,5,0.15
Untextured,Count,1.13,NA,1.0119342638974724,1.03,1.25,1.00135910228468,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,12,6,0.15
Untextured,Count,1.5,NA,1.0417091856879557,0.9,4.67,1.01468052397313,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,Animal,12,7,0.15
Untextured,Count,1.25,NA,1.0225707821214414,0.9,2.19,1.01464297322953,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,Animal,12,8,0.15
Untextured,Count,1.12,NA,1.0111678975890661,0.99,1.26,1.00045313832555,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,Animal,12,9,0.15
Untextured,Count,1.37,NA,1.0318295044786636,0.76,4.4,1.01086721974932,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,12,10,0.15
Untextured,Count,1.18,NA,1.0169054186665858,1.07,1.31,1.00126469788833,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal,12,11,0.15
Untextured,Count,1.45,NA,1.0376368097168727,1.27,1.67,1.00450635504269,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,12,12,0.15
Untextured,Presence,1.383827711680739,NA,1.383827711680739,1.2892767834461047,1.5029264671024134,1.00018595032768,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,Animal,12,1,0.15
Untextured,Presence,1.0983921635211682,NA,1.0983921635211682,0.9486045450669235,1.314815240792035,1.00157341336767,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,12,2,0.15
Untextured,Presence,1.170745022616696,NA,1.170745022616696,0.9232541136674268,1.4872589683213198,1.00409260443102,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,Animal,12,3,0.15
Untextured,Presence,1.1019982803719723,NA,1.1019982803719723,0.8271973337231157,1.41274834217733,1.00303353611257,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,Animal,12,4,0.15
Untextured,Presence,1.5428799201097725,NA,1.5428799201097725,1.2839991281134568,1.9321986206718234,1.0028754680885,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,Animal,12,5,0.15
Untextured,Presence,1.2405029149304665,NA,1.2405029149304665,1.067407187560915,1.4830487146965166,1.0004907514927,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,12,6,0.15
Untextured,Presence,1.3031518214595348,NA,1.3031518214595348,1.0077257952426748,1.6900981130435269,1.0078084881666,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,Animal,12,7,0.15
Untextured,Presence,1.070713995825222,NA,1.070713995825222,0.9742021249237081,1.1958318557370178,1.00539214347436,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,Animal,12,8,0.15
Untextured,Presence,1.4326705476911255,NA,1.4326705476911255,1.282941026486236,1.6429624949307917,1.00103396956505,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,Animal,12,9,0.15
Untextured,Presence,1.2229697721079436,NA,1.2229697721079436,0.9533210199136081,1.5797469870354683,1.00574609134971,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,12,10,0.15
Untextured,Presence,1.015325428018466,NA,1.015325428018466,1.0048909381985118,1.025791204689333,1.00186036082605,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,Animal,12,11,0.15
Untextured,Presence,1.1335964518250825,NA,1.1335964518250825,1.0910377817042398,1.1828140618156822,1.00212598892709,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,12,12,0.15
