outcome,effect_type,mean,q5,q95,rhat,ess_bulk,estimate_type,restaurant_id
total,Level Change,-0.06187540371808753,-0.2876820724517809,0.1823215567939546,1.00084611050434,NA,Restaurant,ED5J990H5VAZT
total,Slope Change,0.30010459245033816,-0.05129329438755058,0.6780335427498971,1.001588532216772,NA,Restaurant,ED5J990H5VAZT
vegan,Level Change,0.12221763272424911,-0.07257069283483537,0.34358970439007686,1.1392654274393288,NA,Restaurant,VLZX7K2M9QD4T
vegan,Slope Change,0.06765864847381486,-0.8675005677047231,0.9162907318741551,1.0790050463850418,NA,Restaurant,VLZX7K2M9QD4T
vegan,Level Change,0.02955880224154443,-0.13926206733350766,0.1906203596086497,1.0551697639811377,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Level Change,0,-0.13926206733350766,0.13976194237515863,1.1296766214800908,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Slope Change,-0.6931471805599453,-1.8325814637483102,0.3074846997479607,1.1198438774972157,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Slope Change,0.2468600779315258,-0.5978370007556204,1.3137236682850553,1.1119351742243688,NA,Restaurant,SRQS8F7JWA9MZ
vegan,Level Change,-0.10536051565782628,-0.3011050927839216,0.058268908123975824,1.0554963982130048,NA,Restaurant,2HRX9P6HKXA8V
vegan,Slope Change,-0.12783337150988489,-0.6539264674066639,0.30010459245033816,1.2379254203123982,NA,Restaurant,2HRX9P6HKXA8V
vegan,Level Change,0.01980262729617973,-0.11653381625595151,0.17395330712343798,1.1042661855442137,NA,Restaurant,JHDN7CF1C03X5
vegan,Level Change,-0.12783337150988489,-0.2484613592984996,-0.01005033585350145,1.0300032764527607,NA,Restaurant,JHDN7CF1C03X5
vegan,Slope Change,0.06765864847381486,-0.4620354595965587,0.6259384308664954,1.0620622155756783,NA,Restaurant,JHDN7CF1C03X5
vegan,Slope Change,-0.2744368457017603,-0.9942522733438669,0.4252677354043441,1.4554506325512475,NA,Restaurant,JHDN7CF1C03X5
vegan,Level Change,0.19885085874516517,-0.040821994520255166,0.5247285289349821,1.0281237655465576,NA,Restaurant,L69HYJ4Y3TR91
vegan,Slope Change,1.713797927758343,0.16551443847757333,3.6410013738694724,1.2739312009640975,NA,Restaurant,L69HYJ4Y3TR91
vegan,Level Change,0.22314355131420976,0.009950330853168092,0.45107561936021673,1.036456665838547,NA,Restaurant,ED5J990H5VAZT
vegan,Slope Change,0.47000362924573563,0.03922071315328133,0.8712933659434193,1.112983195750834,NA,Restaurant,ED5J990H5VAZT
vegetarian,Level Change,0,-0.2613647641344075,0.26236426446749106,1.001054292977993,NA,Restaurant,VLZX7K2M9QD4T
vegetarian,Slope Change,0.1570037488096647,-0.527632742082372,0.8020015854720274,1.0030032901453683,NA,Restaurant,VLZX7K2M9QD4T
vegetarian,Level Change,0.2151113796169455,0.08617769624105241,0.36464311358790924,1.005715633034964,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Level Change,0.131028262406404,0,0.26236426446749106,1.0004492942252883,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Slope Change,-0.19845093872383832,-0.8915981192837836,0.37843643572024505,1.0053538355041465,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Slope Change,-0.05129329438755058,-0.6539264674066639,0.636576829071551,1.0026715977782372,NA,Restaurant,SRQS8F7JWA9MZ
vegetarian,Level Change,-0.5447271754416722,-0.7765287894989963,-0.31471074483970024,1.0028951558611743,NA,Restaurant,2HRX9P6HKXA8V
vegetarian,Slope Change,0.1906203596086497,-0.12783337150988489,0.5247285289349821,1.0024891795863617,NA,Restaurant,2HRX9P6HKXA8V
vegetarian,Level Change,-0.040821994520255166,-0.18632957819149348,0.12221763272424911,1.003598831161121,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Level Change,-0.2484613592984996,-0.40047756659712525,-0.09431067947124129,1.0006047926981503,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Slope Change,-0.2613647641344075,-0.8915981192837836,0.1823215567939546,1.0035552917202377,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Slope Change,0.28517894223366247,-0.16251892949777494,0.959350221334602,1.005480943997255,NA,Restaurant,JHDN7CF1C03X5
vegetarian,Level Change,0.412109650826833,0.16551443847757333,0.6626879730752367,1.000401218181268,NA,Restaurant,L69HYJ4Y3TR91
vegetarian,Slope Change,0.5068176023684519,-0.08338160893905101,1.4422019930581866,1.0025262666055978,NA,Restaurant,L69HYJ4Y3TR91
vegetarian,Level Change,0.058268908123975824,-0.15082288973458366,0.26236426446749106,1.0000326672461115,NA,Restaurant,ED5J990H5VAZT
vegetarian,Slope Change,0.2700271372130602,0,0.5596157879354227,1.0056054204409535,NA,Restaurant,ED5J990H5VAZT
