fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,4,pooled,NA,gender_female,NA,mu_gamma_total,-0.0127182294285407,-0.016233815,-0.294366215,-0.132352408,0.108459528,0.2803115485
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_1,matched_restaurant,0.0302828811685,0.027943895,-0.1774907425,-0.0707972584,0.131180916,0.2437358725
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_2,matched_restaurant,-0.0195433306339667,-0.0171631,-0.238225605,-0.1254197928,0.085838264,0.1857863975
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,2HRX9P6HKXA8V,level,exposure_2HRX9P6HKXA8V_1,matched_restaurant,-0.03980232298952,-0.038335445,-0.33308077375,-0.169498904,0.086807704,0.2462139425
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,L69HYJ4Y3TR91,level,exposure_L69HYJ4Y3TR91_1,matched_restaurant,0.00815840458158333,0.006787015,-0.33288098,-0.136133664,0.1594044048,0.33815584925
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,ED5J990H5VAZT,level,exposure_ED5J990H5VAZT_1,matched_restaurant,-0.007576420278854,-0.00756925,-0.10476494,-0.0537935816,0.040364688,0.0859996125
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_1_slope,matched_restaurant,0.00782866505533333,-0.0087976,-0.994589825,-0.38748348,0.417676864,1.0771695775
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_2_slope,matched_restaurant,-0.00629763288356667,0.00291665,-1.084246065,-0.414202556,0.395756344,0.991227150000001
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,2HRX9P6HKXA8V,slope,exposure_2HRX9P6HKXA8V_1_slope,matched_restaurant,0.0244557835787867,0.02671295,-0.2078002325,-0.0903213,0.1367240384,0.24377114
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,L69HYJ4Y3TR91,slope,exposure_L69HYJ4Y3TR91_1_slope,matched_restaurant,-0.0135592973195333,-0.0024516,-0.715602275,-0.236423704,0.205627228,0.555801550000001
