outcome,effect_type,mean,q2.5,q16,q84,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
chicken_fish,NA,-0.0115953682134033,-0.0854185025,NA,NA,0.067474344,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.050598645381770654,0.02740790895496405
chicken_fish,NA,0.155387240204667,-0.367663097625,NA,NA,1.067034735775,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.21060710505043506,0.521381585459769
chicken_fish,NA,-0.0501976096101698,-0.9765233551625,NA,NA,0.494158101675,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.42537145064014426,0.3249762314198047
chicken_fish,NA,-0.127287887265,-0.3989117175,NA,NA,0.133973525,NA,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2632280001476531,0.008652225617653053
chicken_fish,NA,-0.478722297801933,-1.1346573,NA,NA,0.10651965,NA,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7953490707611166,-0.1620955248427493
chicken_fish,NA,-0.0711170671777933,-0.364681725,NA,NA,0.17509947,NA,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2088163516165688,0.06658221726098222
chicken_fish,NA,-0.121418740234364,-0.3184767188475,NA,NA,0.04183560780825,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.21333515009552473,-0.02950233037320328
chicken_fish,NA,0.0635742695051174,-0.078413741264,NA,NA,0.24207372168725,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01818273634979331,0.1453312753600281
chicken_fish,NA,0.152817527363908,-0.01768092907,NA,NA,0.35465732347575,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.05783327926550237,0.24780177546231363
chicken_fish,NA,-0.0184159840531602,-0.20926414123475,NA,NA,0.132927708118,NA,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1057098231737597,0.0688778550674393
