created_at,location_id,item_quantity_day,vegan_window_quantity,vegetarian_window_quantity,meat_window_quantity,vegan_window_avg,vegetarian_window_avg,meat_window_avg,vegan_outcome,vegetarian_outcome,day_of_week_cat,day_of_week,weekend,day_of_month_cat,day_of_month,month_cat,month,season,year_cat,year,date,location_id_y,cuisine,restaurant_type,pos_type,batch
2013-05-24 00:00:00+00:00,1SQPTEGYPH0GA,61.0,377.0,377.0,1582.0,589.7734960849714,589.7734960849714,309.47266342408705,12.0,12.0,4,4,0,24,23,5,4,spring,2013,0,85,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-25 00:00:00+00:00,1SQPTEGYPH0GA,51.0,879.0,879.0,2817.0,564.6246310701783,564.6246310701783,331.8617665547863,14.0,14.0,5,5,1,25,24,5,4,spring,2013,0,86,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-26 00:00:00+00:00,1SQPTEGYPH0GA,14.0,108.0,108.0,439.0,558.3333333333334,558.3333333333334,1240.970552518444,0.0,0.0,6,6,1,26,25,5,4,spring,2013,0,87,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-27 00:00:00+00:00,1SQPTEGYPH0GA,,,,,558.3333333333334,558.3333333333334,1240.970552518444,0.0,0.0,0,0,0,27,26,5,4,spring,2013,0,88,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-28 00:00:00+00:00,1SQPTEGYPH0GA,51.0,482.0,482.0,784.0,475.6813199135863,475.6813199135863,507.7855737851854,18.0,18.0,1,1,0,28,27,5,4,spring,2013,0,89,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-29 00:00:00+00:00,1SQPTEGYPH0GA,67.0,1638.0,1638.0,3352.0,502.02370242281546,502.02370242281546,421.8170561992555,22.0,22.0,2,2,0,29,28,5,4,spring,2013,0,90,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-30 00:00:00+00:00,1SQPTEGYPH0GA,40.0,625.0,625.0,1273.0,504.68264118268326,504.68264118268326,478.35650569316647,10.0,10.0,3,3,0,30,29,5,4,spring,2013,0,91,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-05-31 00:00:00+00:00,1SQPTEGYPH0GA,71.0,951.0,951.0,3209.0,491.431207738685,491.431207738685,416.23328187638384,16.0,16.0,4,4,0,31,30,5,4,spring,2013,0,92,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-06-01 00:00:00+00:00,1SQPTEGYPH0GA,42.0,580.0,580.0,1997.0,550.814552510981,550.814552510981,371.00579850481233,9.0,9.0,5,5,1,1,0,6,5,summer,2013,0,93,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-06-02 00:00:00+00:00,1SQPTEGYPH0GA,,,,,550.814552510981,550.814552510981,371.00579850481233,0.0,0.0,6,6,1,2,1,6,5,summer,2013,0,94,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
