outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group,step_size
nonvegan,mpbamod,Proportion,NA,NA,1.4294803206118807,10.2658286203398,1.01540872717034,0.99985020960545,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-6.336037423092897,NA,-0.2790658932294469,1.08067921589879,1.00093945735791,1.00157559302491,Restaurant,SRQS8F7JWA9MZ,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,-2.176710189213646,NA,-0.2008295379102783,1.19223452797266,1.0120350896804,1.00035787577406,Restaurant,V3Q26BHF3SE2H,Animal,0.021052631578947368
nonvegan,mpbamod,Proportion,NA,NA,-0.45492566021801073,0.573748821529411,0.921515985863338,0.999371992528132,Restaurant,W8T41JZK0ZMEP,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-3.4860340758984485,0.988641178902063,0.998837794689336,1.0005685678707,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-2.1662190200622415,0.997926176730052,0.999627637140081,1.00070809623826,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-3.808884989256144,0.993851930903363,0.999373706208806,1.00081088172333,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-4.095436167306197,0.995886793433398,0.999582633232171,1.00111511642985,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-3.145501012124455,0.996779350723033,0.999649644489685,1.00025841141992,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-3.876230032867232,0.998023074386571,0.999796029803469,0.999477615758941,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-2.887946161036181,0.98772432888586,0.998708680657106,1.00083972816549,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
nonvegan,vegan,Count,-3.387863552868662,NA,-1.5968326399999844,1.03837414615102,1.00342262171752,0.999912279942738,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-4.096953880634377,0.993331665802643,0.999324264775316,1.00033171369242,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-2.96683899320846,0.990140753951218,0.998961200541055,1.00029554323538,Restaurant,L69HYJ4Y3TR91,Animal,0.021052631578947368
nonvegan,vegan,Count,-4.202671939678433,NA,-2.446339555004366,1.01576267112608,1.00150352689796,1.00036179830992,Restaurant,LBZEEFSBJNB3Z,Animal,0.021052631578947368
nonvegan,vegan,Count,-5.611644020812073,NA,-1.5025968986172182,1.01060825049673,1.00043501645547,1.00327667219394,Restaurant,LFZFT3VASXPED,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-1.6154842422011546,0.980508365019189,0.997419476551835,1.00034695591961,Restaurant,LQ5EH4BKGV61T,Animal,0.021052631578947368
nonvegan,vegan,Count,-3.7022776043594767,NA,-1.9552672308709953,1.02680740892285,1.00248767365918,1.00194824463865,Restaurant,S8MT0YGD2KTN9,Animal,0.021052631578947368
nonvegan,vegan,Count,-4.879217692670875,NA,-1.1712006655302745,1.02097784982246,1.00089317389839,1.00096161838076,Restaurant,SAFK7ND1HR6XS,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-2.170803822502738,0.935521643119472,0.992972005543159,1.00210550127583,Restaurant,SRQS8F7JWA9MZ,Animal,0.021052631578947368
nonvegan,vegan,Count,NA,NA,-3.2448110606012674,0.965951534616614,0.996483509214896,1.00001445259922,Restaurant,V3Q26BHF3SE2H,Animal,0.021052631578947368
nonvegan,vegan,Count,-4.779796242458533,NA,-3.5984418615599627,1.00848230214304,1.00084061235187,1.00045397278355,Restaurant,W8T41JZK0ZMEP,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.46893158684482117,1.35567353846372,0.997497817173153,1.00079331571239,Restaurant,1SQPTEGYPH0GA,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.653769881417718,1.58825066609389,0.998776677675611,1.00072655635851,Restaurant,2HRX9P6HKXA8V,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.3776983316686725,1.03428533627793,0.997323543959293,1.00009793573758,Restaurant,78AY09MVJVTYE,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.23791640341340317,1.0209693267965,0.974846208457302,1.00138060306897,Restaurant,9XKJD8DQTH559,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.5637970146966179,1.41787547362918,0.998815705961028,0.999579086028655,Restaurant,C0BE4NDSW26QN,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.3793479572397879,0.957300987474456,0.987569662013517,0.999183649414232,Restaurant,CB2KHY1C2G9PT,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,0.1619985403688364,1.12452321773261,0.991363717391089,1.00024994158231,Restaurant,ED5J990H5VAZT,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.21295152204250606,0.996969696124258,0.989948484838426,1.00184479862609,Restaurant,EMBVNVD207CC6,Animal,0.021052631578947368
nonvegan,vegan,Proportion,NA,NA,-0.0696706433098904,0.858460204820222,0.965743707728286,0.999818696354406,Restaurant,JHDN7CF1C03X5,Animal,0.021052631578947368
