outcome,exposure_group,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9951106420155563,0.9478874371125366,0.9712173724729428,1.01934758897404,1.0429998033750818,0.952168275340021,0.9951106420155563,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9712173724729428,1.01934758897404
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.038537787201562,0.8918449160037887,0.953709512630118,1.1252097847439768,1.2137738587684699,1.4595636190766148,1.038537787201562,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.953709512630118,1.1252097847439768
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9736752985155215,0.7108867781270556,0.8420224924273361,1.1325160381538164,1.3831385417961723,0.7658461331347571,0.9736752985155215,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8420224924273361,1.1325160381538164
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.005401033273901,0.9151321252050175,0.9587857489072366,1.0525456725713822,1.1046492071765202,1.0553421213514596,1.005401033273901,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9587857489072366,1.0525456725713822
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9338459687860522,0.8056743301615567,0.8693983659011567,1.0033880585394115,1.0787980457194974,0.504373759217804,0.9338459687860522,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8693983659011567,1.0033880585394115
nonvegan,Exposure: Vegan,Form: Count,1.0058350580156636,0.8839932076746273,0.9436252199801014,1.073163336283678,1.1414918531575975,1.0058350580156636,1.000581979284267,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9436252199801014,1.073163336283678
nonvegan,Exposure: Vegan,Form: Count,0.9938738418982562,0.9173042025888724,0.952783784378617,1.0339702459549351,1.0748821740095664,0.9938738418982562,0.9993856887664574,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.952783784378617,1.0339702459549351
nonvegan,Exposure: Vegan,Form: Count,0.9935873190651057,0.9701724580341615,0.9816878736096062,1.005901950846207,1.0165904125610952,0.9935873190651057,0.9993568738443369,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9816878736096062,1.005901950846207
nonvegan,Exposure: Vegan,Form: Count,0.9805143971261929,0.9126521410550837,0.9457233789014794,1.0166501541503674,1.0519033026944389,0.9805143971261929,0.9980341398392506,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9457233789014794,1.0166501541503674
nonvegan,Exposure: Vegan,Form: Count,0.9511167104923476,0.7674073104171294,0.8568592582073995,1.0572220071706702,1.1765130837112685,0.9511167104923476,0.9950006883646647,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8568592582073995,1.0572220071706702
nonvegan,Exposure: Vegan,Form: Count,1.0075141405242407,0.9863214705271252,0.9966046373249635,1.0176255730125825,1.028257050602399,1.0075141405242407,1.0007488852746569,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9966046373249635,1.0176255730125825
