outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
nonvegan,mpbamod,count,1.2,NA,1.0188227457349706,1.13,1.29,1.00257042287047,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,0.5
nonvegan,mpbamod,count,1.02,NA,1.0020325079188839,1,1.04,1.00047282565876,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,0.5
nonvegan,mpbamod,proportion,0.8981531960122336,NA,0.8981531960122336,0.6762433378062414,1.1076549166739913,1.0024786225662,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,0.5
nonvegan,mpbamod,proportion,1.0289388077013932,NA,1.0289388077013932,0.9938315630347766,1.0662900584785258,1.00770509194278,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,0.5
nonvegan,mpbamod,proportion,0.9867281053073828,NA,0.9867281053073828,0.8835676359470228,1.102362896841745,1.01235692069139,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,0.5
nonvegan,mpbamod,proportion,1.0492813729449404,NA,1.0492813729449404,0.8376158603010033,1.356011183014287,1.00260355559401,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,0.5
nonvegan,mpbamod,proportion,1.1887533800639087,NA,1.1887533800639087,1.1115762237178446,1.2721323532877689,1.00089020089094,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,0.5
nonvegan,mpbamod,proportion,0.9844250682919266,NA,0.9844250682919266,0.8865681505652133,1.0932990799580533,1.00344933914527,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,0.5
nonvegan,vegan,count,1.01,NA,1.0013002817453305,0.92,1.11,1.0011037818454,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.5
nonvegan,vegan,count,1.27,NA,1.0238979977669063,1.2,1.34,1.00100634099216,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.5
nonvegan,vegan,count,0.99,NA,0.9987005492798311,0.97,1,0.999923313073786,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal,0.5
nonvegan,vegan,count,1.1,NA,1.009175019936533,1.04,1.15,1.0050097936646,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,0.5
nonvegan,vegan,count,2.26,NA,1.084988815017873,1.95,2.64,1.00062344886799,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,0.5
