outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group
meat,MPBA-Modifiable,Proportion,1.12898340259619,0.8288429350049302,1.5317291375177096,10.3194247617209,1.12898340259619,1.01016862785676,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal
meat,MPBA-Modifiable,Proportion,1.0028805022838,0.9415044018852018,1.0609714126612435,1.07231434657588,1.0028805022838,1.00926888613884,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal
meat,MPBA-Modifiable,Proportion,1.14171358961639,0.9912704194974802,1.3314464397963028,4.8874597756689,1.14171358961639,1.00376110596664,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal
meat,MPBA-Modifiable,Proportion,0.987014922748461,0.7097157295756267,1.285329438033499,2.24356659581587,0.987014922748461,1.00672771888271,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal
meat,MPBA-Modifiable,Proportion,0.947711773626643,0.8589544157957224,1.0397739148984155,0.651063905585832,0.947711773626643,1.01148531988288,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal
meat,MPBA-Modifiable,Proportion,0.995788022181505,0.8697236730225485,1.133196420256063,1.17372602487466,0.995788022181505,1.00605538397518,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/meat/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal
meat,Vegan,Count,0.975294887780138,0.8500314374044534,1.1100597275719621,0.975294887780138,0.997299716456589,1.00196905039339,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
meat,Vegan,Count,0.916536849360167,0.8314748103793794,1.0060843851313794,0.916536849360167,0.991218356002485,1.00146644541606,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal
meat,Vegan,Count,0.978682940296108,0.9566442942226646,1.0015329112090794,0.978682940296108,0.997841354962049,1.00019162310557,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal
meat,Vegan,Count,0.972421898119801,0.8934885068785705,1.0556019125937257,0.972421898119801,0.997128867503948,0.999725155092152,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/meat/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
