outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
Egg,Presence,0.08617769624105241,NA,1.0087954647000097,0,0.1823215567939546,1.00237037283173,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/78AY09MVJVTYE.png,Animal,5,5,0.15
Egg,Presence,0.09531017980432493,NA,1.009342814269184,-0.06187540371808753,0.25464221837358075,1.00140083921507,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/ED5J990H5VAZT.png,Animal,5,4,0.15
Egg,Presence,0.22314355131420976,NA,1.0222978693635119,-0.2876820724517809,1.8050046959780757,1.0143646906247,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal,5,1,0.15
Egg,Presence,0.131028262406404,NA,1.0134679008370382,-0.08338160893905101,0.412109650826833,1.00921594339451,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal,5,2,0.15
Egg,Presence,0.131028262406404,NA,1.013046725450083,-0.4620354595965587,0.7884573603642703,1.03839545314556,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,5,3,0.15
Untextured,Count,0.17395330712343798,NA,1.0178718302046112,0.08617769624105241,0.2700271372130602,1.00017568735827,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/1SQPTEGYPH0GA.png,Animal,12,6,0.15
Untextured,Count,0.0769610411361284,NA,1.0077137217978178,0.02955880224154443,0.12221763272424911,0.999920558778355,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/9XKJD8DQTH559.png,Animal,12,11,0.15
Untextured,Count,0.16551443847757333,NA,1.0166123885309022,-0.040821994520255166,0.37843643572024505,1.00055291215551,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/C0BE4NDSW26QN.png,Animal,12,7,0.15
Untextured,Count,-0.08338160893905101,NA,0.9916682422502192,-0.18632957819149348,0.02955880224154443,1.00282151810237,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/CB2KHY1C2G9PT.png,Animal,12,12,0.15
Untextured,Count,0.8372475245337022,NA,1.0871509301407913,0.01980262729617973,3.7407600759909254,1.02723563602912,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/EMBVNVD207CC6.png,Animal,12,1,0.15
