path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_overlay/A3_its_forest_restaurants.html,,-1.0050,6.6650,7.6700,52.1512,200,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_overlay_log/A1_proportion_forest_restaurants_log.html,,-0.7618,6.3723,7.1340,56.0695,452,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_overlay_log/A3_its_forest_restaurants_log.html,,-1.0050,6.6650,7.6700,52.1512,200,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_overlay_t2/A1_proportion_forest_restaurants.html,,5.9025,6.0825,0.1800,2222.2222,24,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_t2_log/A1_proportion_forest_restaurants_log.html,,-2.4177,6.4443,8.8620,45.1365,998,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_t2_log/A2_proportion_targeted_forest_restaurants_log.html,,5.8950,6.0900,0.1950,2051.2821,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_t2_log/A3_its_forest_restaurants_log.html,,-0.1050,6.5900,6.6950,59.7461,28,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_adj_t2_log/A4_its_targeted_forest_restaurants_log.html,,5.8875,6.0975,0.2100,1904.7619,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_log/A1_proportion_forest_restaurants_log.html,,-0.2558,6.3502,6.6060,60.5510,500,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_log/A2_proportion_targeted_forest_restaurants_log.html,,-0.2430,6.6015,6.8445,58.4411,68,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_log/A3_its_forest_restaurants_log.html,,-0.5250,6.6250,7.1500,55.9441,188,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_log/A4_its_targeted_forest_restaurants_log.html,,-0.0563,4.5708,4.6270,86.4491,36,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_t2_log/A1_proportion_forest_restaurants_log.html,,-1.9047,15.8133,17.7180,22.5759,1364,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_t2_log/A2_proportion_targeted_forest_restaurants_log.html,,-2.2230,16.5165,18.7395,21.3453,204,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_t2_log/A3_its_forest_restaurants_log.html,,-3.9050,27.4900,31.3950,12.7409,516,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/forest_plots_restaurants_trunc_recolored_t2_log/A4_its_targeted_forest_restaurants_log.html,,-1.5562,14.2707,15.8270,25.2733,148,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t1/A1_proportion_forest_restaurants_log.html,1447.0000,-1.7106,24.2363,25.9469,55.7678,500,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1/A2_proportion_targeted_forest_restaurants_log.html,814.0000,-0.4358,12.5787,13.0146,62.5453,68,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1/A3_its_forest_restaurants_log.html,1658.0000,-3.1930,29.5317,32.7246,50.6652,188,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1/A4_its_targeted_forest_restaurants_log.html,700.0000,-0.7764,8.7593,9.5357,73.4085,40,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj/A1_proportion_forest_restaurants_log.html,1236.0000,1.1760,19.7296,18.5536,66.6178,416,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj/A2_proportion_targeted_forest_restaurants_log.html,708.0000,-0.0576,10.4984,10.5560,67.0709,64,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj/A3_its_forest_restaurants_log.html,1412.0000,-2.3104,24.6776,26.9880,52.3195,156,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj/A4_its_targeted_forest_restaurants_log.html,700.0000,-0.3036,6.5844,6.8880,101.6260,36,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj_sorted/A1_proportion_forest_restaurants_log.html,1236.0000,2.1552,19.7104,17.5552,70.4065,416,OK
/home/godli/testing/forest_plots/z_log_and_overlay/t1_adj_sorted/A2_proportion_targeted_forest_restaurants_log.html,708.0000,-0.0576,10.4984,10.5560,67.0709,64,OK
