outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
nonvegan,mpbamod,Count,0.0125313585311467,-0.17794356023,0.19180562795,1.012610205011414,1.0012539213559275,1.00073627457043,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LQ5EH4BKGV61T.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00144915942661847,-0.139503245975,0.1440413250575,0.998551890097866,0.9998550945571462,0.999731585860922,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/S8MT0YGD2KTN9.png,Animal,0.15
nonvegan,mpbamod,Count,-0.010042831100618,-0.24529980325,0.25774431855,0.9900074297332337,0.9989962210134458,1.00139092027259,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/SAFK7ND1HR6XS.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00152506142633333,-0.06686580465,0.0647543707500001,0.9984761008889013,0.9998475054858373,1.0001670034183,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,0.15
nonvegan,mpbamod,Count,0.00880595642885033,-0.035289990246,0.04914632599675,1.0088448429236117,1.0008809834810626,1.00016161148219,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/V3Q26BHF3SE2H.png,Animal,0.15
nonvegan,mpbamod,Count,-0.00276026337778593,-0.0311992730575,0.0283876503925,0.9972435426464896,0.9997240117539862,1.0006585219728,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.230814851802667,-2.2391898025,2.70421594,1.2596260003747175,1.023349924002906,1.00063361128206,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/1SQPTEGYPH0GA.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.144246866240457,-4.523177629,4.0104172435,0.8656740159888857,0.9856788507388716,1.00142655872107,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.19525416617,-2.03169855,2.438686765,1.2156199166866652,1.0197172842949536,1.00115634695736,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/78AY09MVJVTYE.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.176029881422497,-1.202505365,1.533249519125,1.1924736909284706,1.0177588338450443,1.00026504304417,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/9XKJD8DQTH559.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.272943475697533,-3.841346095,4.4154918,1.3138259796288032,1.0276702504896684,1.00033294542483,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/C0BE4NDSW26QN.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.00146107320666667,-1.2328998875,1.2043409925,1.0014621410941482,1.0001461179948612,0.999905032672287,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/CB2KHY1C2G9PT.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.0265186303129067,-0.437363089025,0.39556184475,0.9738299009107595,0.9973516500513868,1.0004681793043,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.02269664611511,-1.48823819525,1.47353526255,1.0229561747447322,1.0022722422499915,1.00114330017458,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/EMBVNVD207CC6.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.49401879970277,-1.27329075405,2.24300327075,1.6388893711371952,1.0506424980839673,1.00482270381403,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.404436181222333,-5.32550750825,4.493132795,0.6673529709417992,0.9603633100717446,0.999990225678712,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.159236415073067,-3.42315118775,2.995978655,0.8527947216085948,0.9842024694031718,1.0004003480459,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LBZEEFSBJNB3Z.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.356436590814125,-7.73860260715,7.18747093,0.7001668670730793,0.9649840955431422,1.00046718502808,Restaurant,LFZFT3VASXPED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LFZFT3VASXPED.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.128450082254867,-4.2187335025,4.432052914,1.1370646601706274,1.0129278597062463,1.00039100390588,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LQ5EH4BKGV61T.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.652908019541333,-3.830570725,2.6183712325,0.5205298626629217,0.936795001945977,1.0000445933136899,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/S8MT0YGD2KTN9.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.0862379259649733,-4.446814119475,4.17652817225,0.9173759376971123,0.9914132856413123,0.99985020960545,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SAFK7ND1HR6XS.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.00177130729,-0.7881232175,0.756490054,1.001772876981423,1.000177146417574,1.00157559302491,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,0.15
nonvegan,mpbamod,Proportion,0.113414028274667,-0.57469251775,0.8180518665,1.120095588202616,1.0114059603633503,1.00035787577406,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/V3Q26BHF3SE2H.png,Animal,0.15
nonvegan,mpbamod,Proportion,-0.846553755310437,-2.38518522,0.634495134425,0.4288904494249841,0.9188288807599916,0.999371992528132,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,0.15
nonvegan,vegan,Count,-0.01165157005,-0.05367827125,0.0306220765,0.9884160466240536,0.9988355215268655,1.0005685678707,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/1SQPTEGYPH0GA.png,Animal,0.15
nonvegan,vegan,Count,-0.0039074707390605,-0.12040293895,0.11461013735,0.9961001534910098,0.9996093292577893,1.00070809623826,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,0.15
nonvegan,vegan,Count,-0.00627577064763555,-0.03475813079925,0.0221728881875,0.9937438808700123,0.9993726198205335,1.00081088172333,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/78AY09MVJVTYE.png,Animal,0.15
nonvegan,vegan,Count,-0.0041804124888,-0.026013493125,0.016648483175,0.9958283132721603,0.9995820461181881,1.00111511642985,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/9XKJD8DQTH559.png,Animal,0.15
nonvegan,vegan,Count,-0.003535104405931,-0.05372049657055,0.0430453524,0.9964711367191404,0.9996465520368604,1.00025841141992,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/C0BE4NDSW26QN.png,Animal,0.15
nonvegan,vegan,Count,-0.00204669384075,-0.0246205206,0.02072882505,0.9979553992089014,0.9997953515592746,0.999477615758941,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count/plots/CB2KHY1C2G9PT.png,Animal,0.15
