"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/untextured","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.000565882419683333,-0.56674465,0.6664611,1.11211281959988,27.2782064465335
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/untextured","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",-0.0625293476237333,-0.37399645,0.45088295,1.21744734750211,10.9270763867026
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid_day/untextured","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.00273104172348333,-0.3701518,0.31651535,1.14472401200026,19.2321882128412
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid/breakfast","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0321438371241074,-0.11145,0.196059,1.05288480698062,85.6417036775628
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid/breakfast","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0534510887109397,-0.221231,0.344935,1.0053275075377,140.840982347423
"model_fits/finalized_redone_trunc_cp2/customer_targeted_gaussian_iid/breakfast","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.00480291219286775,-0.114417,0.161054,1.01699666143665,98.2079782557806
"model_fits/finalized_redone_trunc/customer_gaussian_iid/chicken_fish","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.146610174933333,0.07161879,0.211033,3.10118412911081,3.38100049566881
"model_fits/finalized_redone_trunc/customer_gaussian_iid/chicken_fish","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.04522924735,-0.085082925,0.151262,3.70720439552853,3.25513580195522
"model_fits/finalized_redone_trunc/customer_gaussian_iid/meat","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.00905883803953333,-0.08105077,0.075954905,1.01165417789033,64.6830259586972
"model_fits/finalized_redone_trunc/customer_gaussian_iid/meat","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0972432768623,-0.12049605,0.33660305,1.05950301651168,54.2563323222361
"model_fits/finalized_redone_trunc/customer_gaussian_iid/vegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.00239546945351167,-0.096120065,0.055979065,1.30133304742003,8.10243247795734
"model_fits/finalized_redone_trunc/customer_gaussian_iid/vegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0122224484119333,-0.085070205,0.06959078,1.14394967515088,16.8702750974137
"model_fits/finalized_redone_trunc/customer_gaussian_iid/vegetarian","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0511919640794433,-0.043252935,0.16381045,1.03480793739939,90.5553980548719
"model_fits/finalized_redone_trunc/customer_gaussian_iid/vegetarian","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0958500168460333,-0.4582286,0.10258055,1.0798850939201,56.0702066620358
"model_fits/finalized_redone_trunc/customer_gaussian/vegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.0967290104123,-0.8062201,0.51427995,1.02200236865809,148.399599736588
"model_fits/finalized_redone_trunc/customer_gaussian/vegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0452185227201667,-0.8463632,0.6743277,1.15298744960676,15.3532677584295
"model_fits/finalized_redone_trunc/its_targeted/breakfast","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.1688092708664,-0.5038993,0.19934755,1.00737886139139,474.824213633626
"model_fits/finalized_redone_trunc/its_targeted/breakfast","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.239599749811367,-0.9019019,0.4670148,1.00232408737701,510.811099825607
"model_fits/finalized_redone_trunc/its_targeted/textured","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.217696935666667,0.15221645,0.29168545,1.22722697704675,9.87354906144815
"model_fits/finalized_redone_trunc/its_targeted/textured","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.472656566636083,-1.082203,0.13639765,1.61386150357414,5.20701171606999
"model_fits/finalized_redone_trunc/its_targeted/untextured","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0232784454825167,-0.1418177,0.19271965,1.19169727056871,27.6611279152327
"model_fits/finalized_redone_trunc/its_targeted/untextured","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.4028695900842,-0.79033495,0.00349729150000002,1.32452703653877,9.91620899505575
"model_fits/finalized_redone_trunc/its/chicken_fish","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.06622726786245,-0.22238995,0.05982638,1.08794721822972,37.9291170708108
"model_fits/finalized_redone_trunc/its/chicken_fish","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.5370482235835,0.0786563,0.93822135,1.14955175082603,15.3183617578845
"model_fits/finalized_redone_trunc/its/meat","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.00482953516450517,-0.084877195,0.063298375,1.14820026075746,15.4658812920796
"model_fits/finalized_redone_trunc/its/meat","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.465285257428667,0.1257207,0.80587155,1.39262432808321,6.83517847965311
"model_fits/finalized_redone_trunc/its/nonvegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.01851309086255,-0.07746194,0.095089935,1.22180723323055,10.2136098286376
"model_fits/finalized_redone_trunc/its/nonvegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.459555292278333,0.23505275,0.6261591,1.17598471949281,12.7847651031418
"model_fits/finalized_redone_trunc/its/vegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.1484395631635,-0.055739165,0.27133925,1.61066596749512,5.07759518624496
"model_fits/finalized_redone_trunc/its/vegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.27643897327015,-0.03105616,0.5161418,2.29366076930196,3.75280832926724
"model_fits/finalized_redone_trunc/its/vegetarian","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0783463262461667,-0.11494095,0.1592934,1.30417283036886,8.11352994317919
"model_fits/finalized_redone_trunc/its/vegetarian","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.282744220277533,0.1144961,0.47222495,1.29105049967284,7.8757794671176
