"fit_dir","variable","model_col","type_fine","restaurant","transform","mean","median","sd","q2.5","q97.5","mean_t","q2.5_t","q97.5_t","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.019912121231925,0.02040355,0.0477788795814653,-0.0826231375,0.131613425,1.02011168992903,0.920698058419149,1.14066728057147,1.02193288153117,117.933100054522,100.728989566456
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",0.004576356417975,-0.0228294,0.988184176133609,-1.868607,1.991355,1.0045868439291,0.154338505680051,7.32545302934324,1.00236505393679,470.849316998645,1006.82944309253
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[41,2]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",0.185260853765,0.35349,0.868992452513338,-2.03209325,1.498101,1.01869875796363,0.81610739186489,1.1616136313533,1.01016862785676,404.786261477711,1084.81203837843
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[42,5]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",0.35796265107445,0.367023,0.252000431716989,-0.151755725,0.8134209,1.03644466503667,0.984938996219542,1.08474191246356,1.00926888613884,434.316172608086,1235.70196696019
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[43,3]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp_p10",0.79113295693415,0.7680955,0.472986326540864,-0.1227569,1.77215275,1.0823269381052,0.987799348917145,1.19388807972111,1.00376110596664,625.932265868918,1405.73834979909
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[44,4]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp_p10",0.49041619612575,0.561196,0.850121749421601,-1.55195275,2.1282045,1.05026406141375,0.856247957337319,1.2371624987738,1.00672771888271,378.623437217197,742.17866464436
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[45,1]","exposure_SRQS8F7JWA9MZ_1","level","SRQS8F7JWA9MZ","exp_p10",1.12876617995,1.1205,0.346174537494983,0.49151325,1.82417975,1.11949379903763,1.05037928735984,1.20011570742532,1.01148531988288,467.048146094788,669.278364121147
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","beta[46,6]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp_p10",0.462832989647975,0.4884445,0.478765301576651,-0.554626275,1.370062,1.0473710880758,0.946047379165447,1.14683525887696,1.00605538397518,616.914986632663,1484.80926956852
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp_p10",0.5215024297555,0.5498405,0.377101089530297,-0.316406725,1.1966625,1.05353401670879,0.968854655660529,1.12712061229358,1.00550860518848,197.185285012857,380.548482643985
"model_fits/finalized_redone_trunc/proportion/meat/mpbamod_dishes_prop","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp_p10",-0.02200403935775,-0.0269744,1.02587041385203,-2.02543,1.993022,0.997802015178297,0.816651365834375,1.22055076061204,1.00609264607988,450.316321854849,671.794162095889
