"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","breakfast_p",NA,"restaurant","ED5J990H5VAZT","level",-0.095679922648175,-0.22046665,0.0250417075,0.910563245837582,0.99049735244099,1.00135147617202,1519.59828272609,2231.16287015096
"model_fits/finalized_redone_trunc/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","breakfast_p",NA,"restaurant","L69HYJ4Y3TR91","level",-0.07365299233409,-0.31309975,0.1996217,0.936122481280975,0.992736810759941,1.00141330875495,2098.94052632587,3448.57855728028
"model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","chicken_p",1,"pooled",NA,"level",0.066422452508725,-0.41498428,0.609829302,1.09616922445039,1.00691376613554,1.0291849385116,99.7503227742549,208.549637169416
"model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","chicken_p",2,"pooled",NA,"slope",0.05601800942275,-2.931291,2.7406931,2.62815197586439,1.01569192377965,1.01753697181727,129.989544923003,163.540996313795
"model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","chicken_p",NA,"restaurant","JHDN7CF1C03X5","level",0.063907155672425,0.020566435,0.106327225,1.06625128576957,1.00641361460045,1.00804122735506,296.677811287808,1402.27252003089
"model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","chicken_p",NA,"restaurant","W8T41JZK0ZMEP","level",0.12185637565,0.051371345,0.1990956,1.13045929784817,1.01226793327528,1.01169826637439,269.443498233372,1210.66264839629
"model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","dairy_p",1,"pooled",NA,"level",0.00504964875515,-0.11477082,0.14895083,1.0072541581699,1.00052674502649,1.04301689730938,81.1365730264123,46.6795585208562
"model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","dairy_p",2,"pooled",NA,"slope",-0.066413050802,-2.73091915,2.66205595,2.49471321954271,1.00314959835995,1.00757339644646,452.075166021523,880.545238587925
"model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","dairy_p",NA,"restaurant","ED5J990H5VAZT","level",0.03263795121995,-0.000729754525,0.0615447875,1.03330274862468,1.00327035604128,1.00435876447176,502.233042424999,1369.2875089919
"model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","dairy_p",NA,"restaurant","JHDN7CF1C03X5","level",0.0363569024965,0.009493259,0.0627271175,1.03711868300992,1.00364320529448,1.00217427761834,1007.5698566155,2111.97590767784
"model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","dairy_p",NA,"restaurant","W8T41JZK0ZMEP","level",0.03661488203375,0.0159724075,0.0583188675,1.03735119400804,1.00366875807917,1.00078091652972,945.774253734988,2422.79600085529
"model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","egg_p",1,"pooled",NA,"level",0.01926082279255,-0.45830725,0.570605655,1.04670469662876,1.00218706895245,1.00971805395007,223.838355293331,275.466845781707
"model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","egg_p",2,"pooled",NA,"slope",-0.0083602758005,-2.84037675,2.79620525,2.94220177710821,1.00998822548983,1.00248197301437,573.210704598384,921.187551348866
"model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","egg_p",NA,"restaurant","ED5J990H5VAZT","level",0.02805387540378,-0.0177030525,0.0711372525,1.02871691369722,1.0028119194371,1.00016169848942,1434.44871932441,3012.09827956727
"model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","egg_p",NA,"restaurant","W8T41JZK0ZMEP","level",0.0548734161545,0.0230059275,0.0878057675,1.056547604269,1.00550376364742,1.00169102375439,1839.85219636838,3021.13117865517
"model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","untextured_p",1,"pooled",NA,"level",0.05784014669305,-0.0991119725,0.231447795,1.06346784456357,1.00583767760139,1.2735883046351,9.04857983764835,67.0724165294641
"model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a2_proportion_t","untextured_p",2,"pooled",NA,"slope",0.2477148851425,-2.6623576,3.1497475,3.58437048638843,1.03606186451741,1.49087702138753,5.87847153526958,22.1844763745259
