"table_id","tier","analysis","outcome_key","outcome_label","outcome_order","column","column_order","exposure","fit_dir","total_dir","gamma_index","n_rest","reported","suppress_reason","transform"
"t1_a4","T1","a4_its_t","untextured","Ground meat",2,"Slope change",2,,"model_fits/finalized_uncontaminated/a4_its_t/untextured","model_fits/finalized_redone_trunc_cp/a3_its/total",2,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a4","T1","a4_its_t","textured","Whole-muscle meat",3,"Level change",1,,"model_fits/finalized_uncontaminated/a4_its_t/textured","model_fits/finalized_redone_trunc_cp/a3_its/total",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a4","T1","a4_its_t","textured","Whole-muscle meat",3,"Slope change",2,,"model_fits/finalized_uncontaminated/a4_its_t/textured","model_fits/finalized_redone_trunc_cp/a3_its/total",2,1,FALSE,"fewer than two contributing restaurants","exp"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegetarian_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegan_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","nonvegan","Nonvegan",1,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegetarian_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count",1,18,TRUE,,"exp"
