outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
meat,NA,0.0598427850101333,-0.217912148,0.33786049575,1.00392363365111,261.224163082829,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08193595064037693,0.2016215206606435
meat,NA,0.0243634932567967,-0.064598835,0.1130206625,0.999881446899534,1027.42404152222,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.020947603044223714,0.06967458955781711
meat,NA,0.155630916002207,-0.0313396,0.3398462355,1.00345219414312,449.767607454303,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.06094065184404372,0.25032118016037025
meat,NA,-0.1394098451893,-0.20167647325,-0.074814075,1.00162938443986,1778.37489603849,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.17177270188572857,-0.10704698849287142
meat,NA,-0.0895408181821667,-0.1507825075,-0.0257041699,0.999519888478693,1438.31880460767,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12144855736584018,-0.05763307899849324
meat,NA,-0.02097643372326,-0.29676615,0.18657416,1.00277030352616,618.021545207846,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14427753321305592,0.10232466576653593
meat,NA,0.192625192751067,-0.403839155,0.915607527500001,1.00842610064425,249.362093549453,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.14396834870301495,0.5292187342051489
meat,NA,-0.248508377657179,-0.4742299575,-0.0316851674999999,1.001678212875,1450.21371086951,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3614024567388117,-0.1356142985755463
meat,NA,-0.0210770252734667,-0.2202823875,0.1749143725,1.00381508747661,726.784971192295,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.12189252527346672,0.07973847472653331
meat,NA,0.0379013341143133,-0.1720127325,0.26969571,1.00427271552193,445.764509868768,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/meat/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07477939101323772,0.1505820592418643
