outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegetarian,vegan,Proportion,1.1151415906193203,NA,1.1179209709210645,0.22314355131420976,2.0831845279586703,1.00094987301202,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
vegetarian,vegetarian,Count,0.06765864847381486,NA,1.0064037099227692,0.058268908123975824,0.0769610411361284,1.00054641206023,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegetarian,vegetarian,Count,-0.01005033585350145,NA,0.9990169547611532,-0.08338160893905101,0.06765864847381486,1.00118155119164,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegetarian,vegetarian,Count,0.009950330853168092,NA,1.0013534620176354,-0.01005033585350145,0.03922071315328133,1.00085056797833,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegetarian,vegetarian,Count,0.01980262729617973,NA,1.0018907496419427,0.009950330853168092,0.02955880224154443,1.00064301714524,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegetarian,vegetarian,Count,0.03922071315328133,NA,1.0037148854603521,0.01980262729617973,0.058268908123975824,1.00111413301144,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,vegetarian,Count,0.03922071315328133,NA,1.0039427488817325,0.02955880224154443,0.058268908123975824,1.00944152213805,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,vegetarian,Count,0.131028262406404,NA,1.0132548916091402,0.10436001532424286,0.1570037488096647,1.00181872363816,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,vegetarian,Count,0.16551443847757333,NA,1.0163587825720444,0.08617769624105241,0.25464221837358075,1.00174788113223,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegetarian,vegetarian,Count,0.03922071315328133,NA,1.003647159780857,0.01980262729617973,0.04879016416943205,1.00072719234709,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegetarian,vegetarian,Count,0.0769610411361284,NA,1.007770462213623,0.03922071315328133,0.11332868530700327,1.00160807417417,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegetarian,vegetarian,Count,0.01980262729617973,NA,1.0016082265433859,-0.020202707317519466,0.04879016416943205,1.01441757646775,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegetarian,vegetarian,Count,0.01980262729617973,NA,1.0020580640314938,-0.09431067947124129,0.131028262406404,1.00544981368675,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegetarian,vegetarian,Count,0.11332868530700327,NA,1.011263110235593,0.009950330853168092,0.23901690047049992,1.00854173853929,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegetarian,vegetarian,Count,-0.06187540371808753,NA,0.9937277441261853,-0.09431067947124129,-0.030459207484708574,1.0004542596704,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegetarian,vegetarian,Count,0.0769610411361284,NA,1.0074573086654446,-0.05129329438755058,0.20701416938432612,1.00183291253363,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegetarian,vegetarian,Count,0.12221763272424911,NA,1.0123687707244227,0.09531017980432493,0.1570037488096647,1.00055074483301,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegetarian,vegetarian,Count,0.08617769624105241,NA,1.0090454203082257,0.03922071315328133,0.14842000511827322,1.00219692753213,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
vegetarian,vegetarian,Count,0.01980262729617973,NA,1.0018787207484627,0.009950330853168092,0.02955880224154443,1.00228430787755,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
vegetarian,vegetarian,Proportion,-0.8915981192837836,NA,0.9140401315179391,-1.8325814637483102,0,1.00434051309498,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegetarian,vegetarian,Proportion,-0.4155154439616658,NA,0.9591428209350185,-2.3025850929940455,1.3737155789130306,1.00168070508029,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
