outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
meat,mpbamod,Count,0,NA,1.0000722032610896,-0.030459207484708574,0.02955880224154443,1.0002216079029713,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Count,0.02955880224154443,NA,1.0032436975231391,-0.09431067947124129,0.16551443847757333,1.0052969134910552,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Count,0.01980262729617973,NA,1.001828939240521,0,0.03922071315328133,1.001000159733376,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Count,0,NA,1.0000130655227528,-0.020202707317519466,0.01980262729617973,1.0018913057635856,Restaurant,W8T41JZK0ZMEP,Animal
meat,mpbamod,Proportion,1.1908875647772805,NA,1.1201655124023338,0.4885800148186709,1.824549292051046,1.0114853198828844,Restaurant,SRQS8F7JWA9MZ,Animal
meat,mpbamod,Proportion,0.494696241836107,NA,1.022438838361748,-2.0402208285265546,1.4973884086254774,1.0101686278567552,Restaurant,2HRX9P6HKXA8V,Animal
meat,mpbamod,Proportion,0.9082585601768908,NA,1.0835417513071945,-0.12783337150988489,1.7715567619105355,1.0037611059666358,Restaurant,JHDN7CF1C03X5,Animal
meat,mpbamod,Proportion,0.8415671856782185,NA,1.0539954676731462,-1.5606477482646683,2.128231705849268,1.006727718882712,Restaurant,L69HYJ4Y3TR91,Animal
meat,mpbamod,Proportion,0.3920420877760237,NA,1.036773199148762,-0.15082288973458366,0.8153648132841944,1.009268886138835,Restaurant,ED5J990H5VAZT,Animal
meat,mpbamod,Proportion,0.5766133643039938,NA,1.0485676909252568,-0.5621189181535413,1.3711807233098425,1.0060553839751816,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Count,0.9631743177730056,NA,1.1005361085910284,0.7929925155296614,1.1346227261911428,1.0136226706171225,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Count,-0.020202707317519466,NA,0.9979684332227862,-0.12783337150988489,0.0769610411361284,1.0019690503933854,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Count,-0.030459207484708574,NA,0.9971908201529682,-0.040821994520255166,-0.01005033585350145,1.000191623105571,Restaurant,JHDN7CF1C03X5,Animal
meat,vegan,Count,0.08617769624105241,NA,1.0082702691156857,0.01980262729617973,0.14842000511827322,0.9997251550921517,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegan,Count,0.1570037488096647,NA,1.0155851066612673,0.0769610411361284,0.23111172096338664,1.0014664454160562,Restaurant,ED5J990H5VAZT,Animal
