outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.015161126281494,0.6558170932048586,1.5576920823082485,1.162384443386476,1.015161126281494,NA,Restaurant,LQ5EH4BKGV61T,0.817474202298551,1.2523022503001535,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/LQ5EH4BKGV61T.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.817474202298551,1.2523022503001535
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9392162435183448,0.6817739876296994,1.2993148970061394,0.5341410426948816,0.9392162435183448,NA,Restaurant,S8MT0YGD2KTN9,0.7984867601230313,1.098736415120029,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/S8MT0YGD2KTN9.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7984867601230313,1.098736415120029
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9916223938740675,0.641028467515171,1.5183934228391225,0.9193126984819577,0.9916223938740675,NA,Restaurant,SAFK7ND1HR6XS,0.8016155614607732,1.2270432767970112,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SAFK7ND1HR6XS.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8016155614607732,1.2270432767970112
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0007128589632646,0.924213362915842,1.0785839305749663,1.0071515007127347,1.0007128589632646,NA,Restaurant,SRQS8F7JWA9MZ,0.9629070179642115,1.0388601245685571,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9629070179642115,1.0388601245685571
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0107057007698936,0.9441509209050514,1.0852443691433622,1.112364583552481,1.0107057007698936,NA,Restaurant,V3Q26BHF3SE2H,0.9768292655086604,1.0475123799161274,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/V3Q26BHF3SE2H.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9768292655086604,1.0475123799161274
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9175945134263002,0.787794096599751,1.0655056907291927,0.4231633837547343,0.9175945134263002,NA,Restaurant,W8T41JZK0ZMEP,0.8533293759721745,0.9916839797217242,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8533293759721745,0.9916839797217242
meat,Exposure: Alt-Protein-Modifiable,Form: Count,1.0326580064230788,0.9619588480511699,1.110943077420702,1.0326580064230788,1.0032187758697542,NA,Restaurant,1SQPTEGYPH0GA,0.9979031028869294,1.0702876837261248,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count/plots/1SQPTEGYPH0GA.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9979031028869294,1.0702876837261248
meat,Exposure: Alt-Protein-Modifiable,Form: Count,1.0705067398382606,0.8942960721804261,1.2818124373170445,1.0705067398382606,1.0068364752335912,NA,Restaurant,2HRX9P6HKXA8V,0.9817151551339569,1.1605297725308619,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9817151551339569,1.1605297725308619
meat,Exposure: Alt-Protein-Modifiable,Form: Count,1.0218201098200879,0.929910806149844,1.1198041573966193,1.0218201098200879,1.0021608771872244,NA,Restaurant,78AY09MVJVTYE,0.976418369950849,1.0725496649569108,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count/plots/78AY09MVJVTYE.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.976418369950849,1.0725496649569108
meat,Exposure: Alt-Protein-Modifiable,Form: Count,0.9929427913799177,0.968973858274671,1.0244404191721692,0.9929427913799177,0.9992920278806081,NA,Restaurant,9XKJD8DQTH559,0.9803799529153501,1.0081465946948809,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_count/plots/9XKJD8DQTH559.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9803799529153501,1.0081465946948809
