outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
meat,vegan,Count,NA,NA,-2.916715245556214,NA,0.997128867503948,0.999725155092152,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegan,Count,-2.383589976952425,NA,-1.1277581836675834,NA,1.0093337385998,1.01362267061712,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Count,NA,NA,NA,NA,0.9963977903351,1.00705894194429,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegan,Proportion,NA,NA,0.4332211212529869,NA,0.936969073240184,1.00271351631673,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegan,Proportion,NA,NA,-0.4891692011048274,NA,0.89386970667197,1.00572516205068,Restaurant,ED5J990H5VAZT,Animal
meat,vegan,Proportion,NA,NA,-1.6453134369749607,NA,0.899687965476346,0.999883827339602,Restaurant,JHDN7CF1C03X5,Animal
meat,vegan,Proportion,NA,NA,0.7108216871696454,NA,0.93533748675051,1.00104877540021,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegan,Proportion,-0.8382077231568881,NA,0.24183104727857418,NA,1.04514733418687,1.00148772913044,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegan,Proportion,NA,NA,NA,NA,0.807383494432139,1.00125292740758,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegetarian,Count,-7.42778667586284,NA,-2.3327486998430307,NA,1.000070691567,1.00297768791454,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegetarian,Count,NA,NA,NA,NA,0.995962939566244,1.00028469399166,Restaurant,ED5J990H5VAZT,Animal
meat,vegetarian,Count,NA,NA,NA,NA,0.998162997348263,1.00124757931718,Restaurant,JHDN7CF1C03X5,Animal
meat,vegetarian,Count,NA,NA,-3.530669253872379,NA,0.997150750748236,1.00304630482722,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegetarian,Count,NA,NA,-4.239763995561826,NA,0.997948728047826,1.00347612897543,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegetarian,Count,NA,NA,NA,NA,0.997488484674402,1.00052589849525,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegetarian,Proportion,NA,NA,0.5294382859815342,NA,0.93879338258904,1.0084157602675,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegetarian,Proportion,NA,NA,NA,NA,0.788461983858366,1.00389783585123,Restaurant,ED5J990H5VAZT,Animal
meat,vegetarian,Proportion,NA,NA,NA,NA,0.850684210962227,1.00026949297714,Restaurant,JHDN7CF1C03X5,Animal
meat,vegetarian,Proportion,NA,NA,0.11815827635589655,NA,0.875198236438373,1.00101852968159,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegetarian,Proportion,NA,NA,-1.4478157849430626,NA,0.963682187694446,0.999807467146916,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegetarian,Proportion,NA,NA,NA,NA,0.693484354403098,1.0015203078657,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Count,-5.147586219392675,NA,-1.9255138009873742,NA,1.00060421454607,1.00451461746586,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Count,NA,NA,-3.6315660022929968,NA,0.998472379951766,1.00726044385407,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Count,-3.4838700850832947,NA,-2.679414166713004,NA,1.00307536616393,1.00085203378269,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Count,NA,NA,-2.0647957172774185,NA,0.997862358280156,1.00766484040018,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Count,-4.390044195022852,NA,-3.262453304962635,NA,1.00124167979113,1.00057782700639,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Proportion,-2.318913718196349,NA,1.2039681293150082,NA,1.0243834704791,1.0021081610892,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Proportion,NA,NA,NA,NA,0.893943712921704,1.00041249677008,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Proportion,1.0931275496986468,0.38857086735266577,1.5009031419334968,NA,1.35173455567245,1.00019841734816,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Proportion,NA,NA,1.1662737408763117,NA,0.97162204052046,1.0001520880962,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Proportion,-0.3760560972542072,NA,0.7110924467735494,NA,1.07365174641328,0.999942907560298,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegan,Count,NA,NA,-2.281140432220094,NA,0.994641565519364,1.00163656189111,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegan,Count,-0.863743643433715,-1.6428495410382429,-0.41802973851642744,NA,1.04313260528495,1.00379887083133,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegan,Count,NA,NA,NA,NA,0.994748128099,1.00093093893411,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegan,Count,-1.748525389538392,NA,-1.015194360388614,NA,1.01759853374323,1.00115324654931,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegan,Count,-4.2657170480892,NA,-3.3587829277786403,NA,1.00140568119648,1.00202450324549,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegan,Proportion,NA,NA,0.29583381899968775,NA,0.898608410739397,1.00027447723068,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegan,Proportion,-0.2613406926289987,NA,1.479042910475967,NA,1.09647093579992,1.00101655804435,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegan,Proportion,NA,NA,NA,NA,0.750022750265349,1.00138226097201,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegan,Proportion,4.5264947401770666e-4,NA,1.6783468537323454,NA,1.12748788457749,1.00197967565379,Restaurant,L69HYJ4Y3TR91,Animal
