outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Dairy,presence,-0.18882679887407403,-0.711412327385185,0.14354651098289528,2.288576234763605,1.086316906011076,1.00048490257787,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/9XKJD8DQTH559.png,Animal
Dairy,presence,-0.03365923206434622,NA,1.0078884836827364,2.6297819587660123,1.1015189530939546,1.00517675955765,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/C0BE4NDSW26QN.png,Animal
Dairy,presence,-2.819342073301814,NA,-1.6271993418927475,1.0614598439942062,1.0059823403459216,1.00060720826738,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/ED5J990H5VAZT.png,Animal
Dairy,presence,0.7159897247799487,0.14314252610528067,1.1018830173321474,7.738523181712236,1.2270600273772776,1.0020758557435,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/EMBVNVD207CC6.png,Animal
Dairy,presence,0.3280698645445265,NA,1.2675935215978638,4.007974337199265,1.1489271525153415,1.02161704956889,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/JHDN7CF1C03X5.png,Animal
Dairy,presence,0.23189153550437336,NA,1.1811623119356214,3.528888502434234,1.1343936679753972,1.02035398233169,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal
Dairy,presence,0.2256541617149323,NA,1.1728561384948044,3.5013275822064798,1.133504567574768,1.00492199159183,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/LFZFT3VASXPED.png,Animal
Dairy,presence,0.0976332636473623,NA,1.1453745249652092,3.011861610166803,1.1165636914137353,1.00733732615629,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal
Dairy,presence,NA,NA,-2.6710245034067714,0.830338609754053,0.9815795984439906,1.00059554887124,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal
Dairy,presence,0.305360249821505,NA,1.2552455985033586,3.8849643791566506,1.1453512763144815,1.01041356809208,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Egg,count,-2.711796928671581,-4.421931757982371,-1.9244368837385646,1.0686726369583643,1.0066638404530024,1.00552521702983,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/78AY09MVJVTYE.png,Animal
Egg,count,-3.426807101253622,NA,-2.728362404210093,1.0330240940967719,1.003254335314309,1.01277388121505,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/ED5J990H5VAZT.png,Animal
Egg,count,-3.184137058882245,NA,-2.2392038036910176,1.0422834884711918,1.0041499842545365,1.00158137165739,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal
