outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,Slope Change,0.2,NA,0.05,0.75,1.00006344711307,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,22,22,0.15
nonvegan,Slope Change,3.95,NA,1.11,16.6,1.00007471310556,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,22,2,0.15
nonvegan,Slope Change,1.06,NA,0.55,2.17,0.999458761831494,NA,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LQ5EH4BKGV61T.png,Animal,22,13,0.15
nonvegan,Slope Change,1.08,NA,1,1.17,1.0058668816406,NA,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/78AY09MVJVTYE.png,Animal,22,12,0.15
meat,Level Change,0.97,NA,0.79,1.09,1.6711183005503,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/L69HYJ4Y3TR91.png,Animal,22,14,0.15
meat,Level Change,1.06,NA,0.88,1.33,1.65822117395425,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/ED5J990H5VAZT.png,Animal,22,10,0.15
meat,Level Change,1.45,NA,1.09,1.82,1.50607520352474,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,1,0.15
meat,Level Change,0.11,NA,0.06,0.26,1.17478212162674,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,22,0.15
meat,Level Change,0.72,NA,0.53,1.01,1.64011783040348,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,20,0.15
meat,Level Change,0.96,NA,0.71,1.65,1.20956510624706,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,15,0.15
meat,Level Change,0.95,NA,0.65,1.21,1.27271132111657,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,16,0.15
meat,Level Change,1.18,NA,0.8,1.7,1.76021558809057,NA,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/EMBVNVD207CC6.png,Animal,22,6,0.15
meat,Level Change,1.32,NA,0.25,3.8,1.22568342229582,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/C0BE4NDSW26QN.png,Animal,22,2,0.15
meat,Level Change,1.27,NA,0.64,3.25,1.69222821594721,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/C0BE4NDSW26QN.png,Animal,22,4,0.15
meat,Level Change,1.02,NA,0.87,1.35,1.32744628654884,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,13,0.15
meat,Level Change,1.17,NA,0.95,1.4,1.60684765631543,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,7,0.15
meat,Level Change,1.06,NA,0.94,1.3,1.60567581100936,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,11,0.15
meat,Level Change,0.83,NA,0.71,1.04,1.20616726046487,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,18,0.15
meat,Level Change,1.28,NA,1.11,1.59,1.17666189614764,NA,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/LBZEEFSBJNB3Z.png,Animal,22,3,0.15
meat,Level Change,0.82,NA,0.7,1.03,1.26632201913872,NA,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/SAFK7ND1HR6XS.png,Animal,22,19,0.15
meat,Level Change,1.04,NA,0.97,1.14,1.15375646464875,NA,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/S8MT0YGD2KTN9.png,Animal,22,12,0.15
meat,Level Change,0.54,NA,0.45,0.62,1.18767752430329,NA,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/1SQPTEGYPH0GA.png,Animal,22,21,0.15
meat,Level Change,1.21,NA,0.94,1.5,1.67696659844896,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/9XKJD8DQTH559.png,Animal,22,5,0.15
meat,Level Change,1.1,NA,0.91,1.58,1.40133316788734,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/9XKJD8DQTH559.png,Animal,22,8,0.15
meat,Level Change,1.09,NA,0.75,1.39,1.24204264647038,NA,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/LQ5EH4BKGV61T.png,Animal,22,9,0.15
meat,Level Change,0.89,NA,0.83,0.95,1.69184153624688,NA,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/78AY09MVJVTYE.png,Animal,22,17,0.15
meat,Slope Change,1.27,NA,0.87,2.64,1.33462388637372,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/L69HYJ4Y3TR91.png,Animal,22,11,0.15
meat,Slope Change,1.76,NA,1.4,2.24,1.67581496176827,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/ED5J990H5VAZT.png,Animal,22,6,0.15
meat,Slope Change,1.57,NA,0.01,25.99,1.5624700270309,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,8,0.15
meat,Slope Change,8426.4,NA,34.46,260251.96,1.29814596057707,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,1,0.15
meat,Slope Change,0.11,NA,0.01,0.73,1.74070219136784,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,20,0.15
meat,Slope Change,0,NA,0,0.32,1.34267497687446,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,22,0.15
meat,Slope Change,0.49,NA,0.03,92.9,1.58697639648048,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/W8T41JZK0ZMEP.png,Animal,22,16,0.15
meat,Slope Change,1.88,NA,1.35,2.51,1.74410115703581,NA,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/EMBVNVD207CC6.png,Animal,22,5,0.15
meat,Slope Change,0.79,NA,0.24,3.33,1.69787105112456,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/C0BE4NDSW26QN.png,Animal,22,15,0.15
meat,Slope Change,1.56,NA,0.37,5.11,1.67035832443386,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/C0BE4NDSW26QN.png,Animal,22,9,0.15
meat,Slope Change,0.3,NA,0.01,15.91,1.20354504514699,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,19,0.15
meat,Slope Change,2.61,NA,0.04,40.6,1.1980896885279,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,4,0.15
meat,Slope Change,0.46,NA,0.25,1.37,1.33219745776761,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,17,0.15
meat,Slope Change,3.7,NA,0.89,15.44,1.65366966465402,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/V3Q26BHF3SE2H.png,Animal,22,3,0.15
meat,Slope Change,0.34,NA,0.26,0.44,1.67355134234239,NA,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/LBZEEFSBJNB3Z.png,Animal,22,18,0.15
meat,Slope Change,1.46,NA,0.61,2.53,1.17249077997012,NA,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/SAFK7ND1HR6XS.png,Animal,22,10,0.15
meat,Slope Change,1.12,NA,1.06,1.21,1.62569245362331,NA,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/S8MT0YGD2KTN9.png,Animal,22,12,0.15
meat,Slope Change,1.73,NA,1.56,2.08,1.31689104785339,NA,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/1SQPTEGYPH0GA.png,Animal,22,7,0.15
meat,Slope Change,0.11,NA,0.04,0.34,1.6230962985016,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/9XKJD8DQTH559.png,Animal,22,21,0.15
meat,Slope Change,7.33,NA,2.4,21.87,1.68320166087064,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/9XKJD8DQTH559.png,Animal,22,2,0.15
meat,Slope Change,0.92,NA,0.61,2.08,1.36345799339598,NA,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/LQ5EH4BKGV61T.png,Animal,22,14,0.15
meat,Slope Change,1.07,NA,1.03,1.14,1.3062307768739,NA,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/meat/plots/78AY09MVJVTYE.png,Animal,22,13,0.15
chicken_fish,Level Change,0.99,NA,0.89,1.1,1.0038023420159,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/VLZX7K2M9QD4T.png,Animal,25,13,0.15
chicken_fish,Level Change,0.86,NA,0.69,1.09,1.0088915382774,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,25,19,0.15
chicken_fish,Level Change,0.9,NA,0.8,1.01,1.02073195218763,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/JHDN7CF1C03X5.png,Animal,25,17,0.15
chicken_fish,Level Change,0.92,NA,0.54,1.47,1.0123472858801,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,25,15,0.15
chicken_fish,Level Change,0.81,NA,0.55,1.17,1.01697154189077,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/ED5J990H5VAZT.png,Animal,25,21,0.15
chicken_fish,Level Change,1.35,NA,1.03,1.81,1.00459990465134,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/W8T41JZK0ZMEP.png,Animal,25,6,0.15
chicken_fish,Level Change,0.3,NA,0.12,0.58,1.02951269771525,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/W8T41JZK0ZMEP.png,Animal,25,25,0.15
chicken_fish,Level Change,0.77,NA,0.54,1.1,1.00030232415407,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/W8T41JZK0ZMEP.png,Animal,25,22,0.15
chicken_fish,Level Change,0.98,NA,0.59,1.5,1.0238096762519,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/W8T41JZK0ZMEP.png,Animal,25,14,0.15
chicken_fish,Level Change,0.85,NA,0.59,1.2,1.00447198812539,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/W8T41JZK0ZMEP.png,Animal,25,20,0.15
chicken_fish,Level Change,1.8,NA,0.85,5.11,1.0522212450108,NA,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/EMBVNVD207CC6.png,Animal,25,1,0.15
chicken_fish,Level Change,1.11,NA,0.31,3.77,1.00477858186606,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/C0BE4NDSW26QN.png,Animal,25,11,0.15
chicken_fish,Level Change,1.48,NA,0.66,3.71,1.00257798716834,NA,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/C0BE4NDSW26QN.png,Animal,25,3,0.15
chicken_fish,Level Change,1.26,NA,0.77,2.03,1.0088295735811,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/V3Q26BHF3SE2H.png,Animal,25,8,0.15
chicken_fish,Level Change,1.2,NA,0.78,1.9,1.00640954519612,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/V3Q26BHF3SE2H.png,Animal,25,9,0.15
chicken_fish,Level Change,1.36,NA,0.94,1.96,1.00283783467461,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/V3Q26BHF3SE2H.png,Animal,25,5,0.15
chicken_fish,Level Change,0.73,NA,0.43,1.22,1.01605723975591,NA,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/V3Q26BHF3SE2H.png,Animal,25,23,0.15
chicken_fish,Level Change,1.74,NA,1.3,2.37,1.0287026290614,NA,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc/t2_a3_its/chicken_fish/plots/LBZEEFSBJNB3Z.png,Animal,25,2,0.15
