outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
nonvegan,vegan,Count,1.03,1,1.05,1.000389039964431,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Proportion,1.1463800159556026,1.0605404816140187,1.2422265447236007,0.9997998549273702,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Proportion,1.0378552826828715,0.8469842998552983,1.2128914153302024,0.999993741597194,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Proportion,1.0048909381985118,0.8633219511791956,1.1454996481615873,1.000083426394141,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Proportion,1.2285028722623705,1.03198184410593,1.6028135625533837,1.0011003733481296,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Proportion,1.1052407538560174,0.9703382962383449,1.2706345577130789,1.0004067971888917,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Proportion,1.0392779987370508,0.9028804514474342,1.179234928546054,1.0021580162218877,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Count,1.07,1.03,1.11,1.000382592326774,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Count,1,0.91,1.09,0.9998931228071525,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Count,1.01,0.99,1.03,1.0005758769874458,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Count,1.08,1.02,1.13,0.9996197445511991,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Count,1.14,1.11,1.18,1.0005979345362128,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Count,1.02,1,1.04,1.0007879321028776,Restaurant,W8T41JZK0ZMEP
nonvegan,vegetarian,Proportion,1.10277817813286,1.0349560586847328,1.1729640236260406,1.0007660042113575,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegetarian,Proportion,0.9779327685429285,0.7943282347242815,1.1397777439653138,0.9996320198082138,Restaurant,2HRX9P6HKXA8V
nonvegan,vegetarian,Proportion,1.0327326526537461,0.9124435365554808,1.1628236163378514,0.9998963987411077,Restaurant,JHDN7CF1C03X5
nonvegan,vegetarian,Proportion,1.1428213880435563,0.9607435561536403,1.4690722016766598,1.0036273541772747,Restaurant,L69HYJ4Y3TR91
nonvegan,vegetarian,Proportion,0.9767034215585771,0.8513399225207846,1.1044253752367947,1.0004117676631359,Restaurant,ED5J990H5VAZT
nonvegan,vegetarian,Proportion,0.9742021249237081,0.8271973337231157,1.115376850200701,1.0012676612806928,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Count,1.21,1.11,1.33,1.0006462380932926,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Count,0.66,0.51,0.86,1.0000903943140234,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Count,0.94,0.89,0.99,0.9997856259064373,Restaurant,JHDN7CF1C03X5
total,mpbamod,Count,1.18,0.98,1.45,1.0005434154744492,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Count,1.02,1,1.05,1.00078728281434,Restaurant,ED5J990H5VAZT
total,mpbamod,Count,1.01,0.97,1.05,0.9998856104662255,Restaurant,W8T41JZK0ZMEP
total,mpbamod,Proportion,1.2073205401839437,1.1011085353637668,1.3210665156477583,1.0002381415717927,Restaurant,SRQS8F7JWA9MZ
total,mpbamod,Proportion,0,0,0.8633219511791956,1.0001969453660582,Restaurant,2HRX9P6HKXA8V
total,mpbamod,Proportion,0.7042261140012369,0,0.8555037734677596,1.000669062723809,Restaurant,JHDN7CF1C03X5
total,mpbamod,Proportion,1.077527209107429,0.7411344491069477,1.6317442934575945,1.0004524000798924,Restaurant,L69HYJ4Y3TR91
total,mpbamod,Proportion,1.0233803045571623,0.9663308284400851,1.0805527510712007,1.000814287388464,Restaurant,ED5J990H5VAZT
total,mpbamod,Proportion,0.9169062415024053,0.7664958432641342,1.0905804187347243,0.9997356017191819,Restaurant,W8T41JZK0ZMEP
