outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,Slope Change,0.1856669801361,-0.0228409525,0.396360025,1.01327982036912,122.527176569305,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/1SQPTEGYPH0GA.png,Total,25,1,0.12
total,Slope Change,0.0413640446791,-0.176831975,0.283357625,1.00081587415707,920.332092313026,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/9XKJD8DQTH559.png,Total,25,4,0.12
total,Slope Change,0.0379500146886667,-0.1739002,0.24340935,1.00423782475808,1108.57227752283,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/9XKJD8DQTH559.png,Total,25,5,0.12
total,Slope Change,0.0139298799467333,-0.253475825,0.2901908,1.00709423049099,664.937909630169,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/LQ5EH4BKGV61T.png,Total,25,12,0.12
total,Slope Change,-0.00742028708996667,-0.085182265,0.0731989325,1.00340921096383,812.87247075458,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/78AY09MVJVTYE.png,Total,25,3,0.12
total,Gender x Level,0.0995403592209667,-0.050306495,0.267391825,1.00212924283947,1090.74355699969,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,25,15,0.12
total,Level Change,-0.085315049177,-0.253063425,0.0673934225,1.00031904156682,1562.36728748746,Restaurant,SRQS8F7JWA9MZ_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ_1_genderfemale.png,Total,50,31,0.12
total,Gender x Level,-0.131453868307333,-0.311731175,0.0216449825,1.00178575271046,1119.09322725337,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,25,16,0.12
total,Level Change,0.04029898982635,-0.118960275,0.2130602,1.00014773058987,1562.35521358903,Restaurant,SRQS8F7JWA9MZ_2_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ_2_genderfemale.png,Total,50,32,0.12
total,Gender x Level,0.00494042942285,-0.14530365,0.16532615,1.00152470987907,828.962206546258,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/2HRX9P6HKXA8V.png,Total,25,2,0.12
total,Level Change,-0.22829076011,-0.4094986,-0.0502013025,1.00122661800437,1182.49565946785,Restaurant,2HRX9P6HKXA8V_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/2HRX9P6HKXA8V_1_genderfemale.png,Total,50,4,0.12
total,Gender x Level,0.164511811479167,-0.02299673,0.3699355,1.01194197381986,428.626715687171,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/L69HYJ4Y3TR91.png,Total,25,10,0.12
total,Level Change,-0.0325755693641,-0.209687675,0.1478216,1.00442549743948,939.734216976167,Restaurant,L69HYJ4Y3TR91_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/L69HYJ4Y3TR91_1_genderfemale.png,Total,50,20,0.12
total,Gender x Level,-0.0268340763579333,-0.0690421,0.016732895,1.00110862814017,2119.98307380682,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/ED5J990H5VAZT.png,Total,25,8,0.12
total,Level Change,0.0260741268331667,-0.0151985675,0.0686783275,1.00057332821143,2487.99073801211,Restaurant,ED5J990H5VAZT_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/ED5J990H5VAZT_1_genderfemale.png,Total,50,16,0.12
total,Gender x Level,-0.243031368087333,-0.67759425,0.0352392725,1.00208238788633,427.634333460904,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,21,0.12
total,Level Change,-0.0449369073976333,-0.312686025,0.231007125,1.0003708127792,1557.97780047403,Restaurant,W8T41JZK0ZMEP_1_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP_1_genderfemale.png,Total,50,46,0.12
total,Gender x Level,-0.299222166013333,-0.540579575,-0.0771814525,1.00022878872057,763.30372850196,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,22,0.12
total,Level Change,0.0334606363907333,-0.171247675,0.247944375,1.00064513735137,834.083718953691,Restaurant,W8T41JZK0ZMEP_2_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP_2_genderfemale.png,Total,50,47,0.12
total,Gender x Level,0.101125399311567,-0.139465725,0.380671275,1.00171268516639,937.642434906699,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,23,0.12
total,Level Change,0.0606978530163333,-0.168721525,0.32249425,1.00056428287533,1230.28043943082,Restaurant,W8T41JZK0ZMEP_3_genderfemale,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP_3_genderfemale.png,Total,50,48,0.12
