"date","datatype","station","attributes","value"
"2013-02-27T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",200
"2013-02-27T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",56
"2013-02-27T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",111
"2013-02-28T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-28T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",200
"2013-02-28T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",72
"2013-02-28T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",167
"2013-03-01T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-03-01T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",194
"2013-03-01T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",72
"2013-03-01T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",117
"2013-03-02T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-03-02T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",233
"2013-03-02T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",100
"2013-03-03T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-03-03T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",211
"2013-03-03T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",89
"2013-03-04T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-03-04T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",178
"2013-03-04T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",72
"2013-03-04T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-03-05T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",56
"2013-03-05T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-03-05T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",50
"2013-03-05T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-03-06T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",81
